,RD0175,RD0176,RD0177,RD0178,RD0179,RD0180,RD0184,RD0185,RD0186
ENSMUST00000040275,0,0,0,0,0,0,0,0,0
ENSMUST00000209382,0,0,0,0,0,0,0,0,0
ENSMUST00000055557,0,0,0,0,0,0,0,0,0
ENSMUST00000073787,47,36,62,15,26,15,22,41,17
ENSMUST00000027102,0,0,0,0,0,0,0,0,0
ENSMUST00000184858,0,0,1,0,0,0,0,0,0
ENSMUST00000090024,0,0,0,2,0,0,0,0,0
ENSMUST00000107945,0,0,0,0,0,0,0,0,0
ENSMUST00000089112,0,0,0,0,0,0,0,0,0
ENSMUST00000101610,0,0,0,0,0,0,0,0,0
ENSMUST00000129456,0,4,0,1,2,0,0,1,0
ENSMUST00000072519,0,3,1,4,3,2,3,0,0
ENSMUST00000034792,0,0,0,0,0,0,0,0,0
ENSMUST00000026011,0,1,0,0,0,0,0,0,0
ENSMUST00000071982,3,2,0,0,0,1,0,0,0
ENSMUST00000031727,3,8,7,1,3,2,0,0,0
ENSMUST00000215469,0,0,0,0,0,0,0,0,0
ENSMUST00000176287,0,0,0,0,0,0,0,0,0
ENSMUST00000008745,0,0,0,0,0,0,0,0,0
ENSMUST00000042163,0,0,0,0,0,0,0,0,0
ENSMUST00000105073,0,0,0,0,0,0,0,0,0
ENSMUST00000029092,0,0,0,0,0,0,0,0,0
ENSMUST00000061030,0,0,0,0,0,0,0,0,0
ENSMUST00000030986,3,0,2,0,1,2,0,1,0
ENSMUST00000076737,0,0,0,0,0,0,0,0,0
ENSMUST00000056649,5,0,2,0,0,2,0,0,0
ENSMUST00000075946,0,0,0,0,0,0,0,0,0
ENSMUST00000031314,3,3,6,2,0,1,1,0,0
ENSMUST00000110516,0,0,0,0,0,0,0,0,0
ENSMUST00000058725,0,0,0,0,0,0,0,0,0
ENSMUST00000037798,0,0,0,0,0,0,0,0,0
ENSMUST00000082290,0,0,0,0,0,0,0,0,0
ENSMUST00000063084,0,0,4,0,0,0,0,0,0
ENSMUST00000041459,4,0,5,0,0,0,0,0,0
ENSMUST00000183301,0,0,0,0,0,0,0,0,0
ENSMUST00000108436,0,0,0,0,0,0,0,0,0
ENSMUST00000095467,0,0,0,0,0,0,0,0,0
ENSMUST00000039956,0,0,0,0,0,0,0,0,0
ENSMUST00000115212,0,0,0,0,0,0,0,0,0
ENSMUST00000110636,0,0,0,0,0,0,0,0,0
ENSMUST00000061799,0,0,0,0,0,0,0,0,0
ENSMUST00000050753,0,0,0,1,0,0,0,0,1
ENSMUST00000173816,0,0,0,0,0,0,0,0,0
ENSMUST00000169782,0,0,0,0,0,0,0,0,0
ENSMUST00000238749,0,0,0,0,0,0,0,0,0
ENSMUST00000052457,0,0,0,0,0,0,0,0,0
